puuid,win_rate,kda,kill_death_ratio,avg_damage,avg_cs,avg_vision_score,avg_game_duration,avg_champion_level,avg_gold_earned,gold_efficiency,unique_champions,total_games_played,unique_play_days,avg_time_between_games_hrs,median_time_between_games_hrs,play_frequency,feature_window_days,kda_trend,winrate_trend,last_gap_days,churn
-DxBJoo2ZfoSve3yjwsW__5TdVCkyBXVFJ_k056TexJ64FMfCPN47yXjMhKcqjQL2C2AdWKvDRMLDg,0.5385,2.2061,1.0916,23353.23,177.62,22.38,1574.12,14.5,11036.65,0.8984,7,26,5,4.5226,0.5737,5.4922,4.73,-0.0605,-0.3077,0.018,0
-GkgdPGVx3zRcqFY30m2UzVKYBkrFNiN8h0cSTIcIoUt2IdDaKu8WXHyqDkHzk5vxqZApMm2HiIlMA,0.3846,2.0414,0.8966,20936.27,171.46,21.35,1635.65,15.65,10778.96,0.9503,6,26,6,8.6252,0.6831,2.8886,9.0,-1.3966,-0.1538,0.0374,0
-PH44wFQt5111MX0ls_AXXo-gqAovT8KvWXg8ZhL3ibHys5GI__FiVQ5tSr59cltGrobujU_DiuxUA,0.4242,1.4712,0.7837,20256.55,192.33,21.58,1572.36,14.7,10443.12,0.9046,9,33,3,1.025,0.5587,23.959,1.38,0.0353,-0.1471,0.0193,0
-ZNFSMhNyGUi9hFql-FSliQkHmw3jyCZqZuQUv00C0lhrn9DalNXvSKTb42P56htgmAHhOIwJ3jkIw,0.8438,3.2032,1.7059,44731.03,6.69,6.94,1526.03,17.09,18710.62,1.08,27,32,6,6.7479,0.5843,3.6646,8.73,-0.4942,-0.1875,0.0248,0
-zoAZUg_pNMrcbMsFgItR7ZA2G13J3ojh0qXI-MvFBasYTM3XyGC_6OeKSsMskLoLahumuvvOaXPgg,0.6129,2.0588,0.8758,19652.45,186.52,23.26,1579.84,15.74,10645.42,0.9245,14,31,5,6.1441,0.5657,4.0277,7.7,0.1387,0.1542,0.0199,0
00-BPP1bQa5EZ7OXm2xVP59K9A_ftFNBCgjSkPiUgdYposgezfdMA22ZOjCiEGs9D-NBORa_V7QGqA,0.4545,1.6772,1.0063,25430.14,171.0,22.05,1591.95,16.41,11788.0,0.9402,8,22,4,4.1925,1.0554,5.9673,3.69,-0.8482,0.0,0.541,0
0UKU337b9X5yKj3jZ0PsyXjtwFmO0cU8V4izh3gQc5QSoicfx1szs20C1ALY7b7tlJMsr4difZik6A,0.6562,4.3788,2.2576,33905.88,72.38,20.81,1631.56,16.09,14535.59,0.9433,9,32,9,5.7432,0.8757,4.304,7.43,-1.6443,0.0625,0.5431,1
0e6q2a6dGVs8cF5HSpNEhgTGl9KDQfJjZRhr8BnHITU3_UsYpS5j_1s6LLGadHFivca55ebWrZNa-g,0.6765,4.4656,2.5496,27227.29,162.82,16.18,1532.18,14.59,12571.0,0.9213,13,34,10,24.4507,0.7526,1.0109,33.63,0.6495,-0.0588,4.9768,1
16UzQeFLymGQZS-Nyde0y_T0V0Hi29KF5WJr4OWk4Ww8QdsyOhz59ri1aYM4WzPPpco-qhcWXXbU4g,0.5294,3.1317,1.0947,20448.5,59.24,81.32,1785.65,14.15,11766.65,0.8967,9,34,5,4.744,0.673,5.1961,6.54,-1.0422,-0.3529,0.0284,0
1PhDQVQ-SDAGn-7SIGfsWubVzf2zSXao2QJX54gqhFsVIptuv_byjf3AU-9CFcoed6TLw_q4soLDJQ,0.4375,2.4487,1.3269,26685.0,143.91,19.88,1455.75,14.09,11865.31,0.9464,17,32,6,4.377,0.6109,5.6347,5.68,0.9293,0.125,0.0255,0
1Z5wEoQdB7Kn7dnCKZTUp25LU3MrHSXEsikr2z3KWXuhGXnWyTihGdUSsRCyNszJb-r2XE_k9Muw6Q,0.4706,2.7896,0.8937,35560.06,48.15,0.74,1181.12,16.62,14018.82,0.9324,23,34,7,4.7719,0.4236,5.1733,6.57,0.5091,0.1176,1.1445,1
1iCoPyUoPS42_f8IYPSC_01zbNMT86Mk9ZsCkY_A6nJCGb7rYfqWs6B3SjLfyU2YkaWiwr7taSfknA,0.5714,2.2119,0.2458,6756.05,44.52,82.24,1689.71,12.38,8026.9,0.899,8,21,4,2.8256,1.0597,8.8184,2.38,0.1525,-0.2455,0.0228,0
1jDC4-e_55XZPWvnFK1ErEhnCOMcBSIaZOExe3Fal-Qb9ZgnSRTNOuGACT6xT0MGHx3Wc3uVJhF0Qw,0.4286,4.16,0.42,6769.21,28.07,64.57,1638.93,12.14,7890.68,0.9024,1,28,6,13.7048,0.6288,1.8144,15.43,2.0041,0.4286,0.5104,0
2Gp3Z_qdkJdy-oVxj1D_jzoYrV8ewBNbs30RPVXGbN5mZdzb3LsVvofz-z_o9OCWfH5LMI-lQ810nw,0.3548,1.2245,0.5867,17473.48,112.1,16.03,1482.84,14.16,10254.26,0.9512,15,31,8,5.6962,1.1632,4.3409,7.14,-0.4578,0.0417,0.0086,1
2c8szcNyqqNjz2b79xHDVQmT1333AHfg1rHCC0q_QJDQq-xUoSRODoLTmEs9vPNZ4A49JmSOFdgQSQ,0.6176,3.3091,0.9127,21823.82,61.47,3.88,1174.09,15.62,11939.59,0.9089,26,34,12,26.2136,0.6753,0.943,36.06,0.3298,-0.1765,0.0122,0
2iQT2IwX4merSYPJ8Z9jotGP6N4zXS34wlYUTYbrfX4Ki7ieF9y5zY1x2dOu6dTqb1DAofZV2O1yMA,0.4688,2.2619,1.3381,35448.66,189.31,21.22,1721.56,15.19,13225.53,0.9719,10,32,6,3.198,0.7891,7.7169,4.15,-0.0948,-0.1875,0.6258,1
2kNm9z_S-gxOHbvw78XWTJkZm1qZ9Xvo9wlWcMPI6c54IyJQb4PHn2M1KkqGBcBnzS1rkTz6KX8miQ,0.6061,2.3563,1.0402,23737.82,204.52,28.09,1777.61,16.39,11932.3,0.91,11,33,7,6.7198,0.9002,3.6762,8.98,0.2822,0.0846,1.0095,1
3IJaecddnEoxvFHUJmQ2eSGLwUbBT-4nGdr7tLw-kQ6rzqPICLDW5rCOfGkq2G5B_EulJAaXMi6GEQ,0.4815,1.9945,0.8846,23582.74,166.26,20.07,1641.33,14.11,12989.93,0.9158,12,27,11,18.2968,0.8825,1.361,19.84,-0.3635,-0.5549,0.3348,0
3QzO8xPji-g0KuSSBtm_yC6yxUyBZwPGNENlvlyo6pOXdi-A1ZBMd9wO6_FjXDE17i3LEQRxqVvpEA,0.4194,1.4661,0.7076,24114.48,196.74,21.94,1697.61,15.9,12079.35,0.9702,13,31,9,7.2515,0.707,3.4139,9.08,0.3569,0.1667,1.8079,0
4nCEYPqnvh9rhqIT1RzFkFGtfzu4OYaAskc34sCUFUUfKouCcudAStHbtJB9awu7TV4U_T7V7tESAQ,0.5882,4.0761,2.1359,30225.47,85.65,4.79,1023.82,17.59,14292.68,0.893,21,34,3,1.5554,0.3444,15.7915,2.15,1.5,0.1176,0.0132,0
554tNdRdOGLMhoxXq49RHDkaaUnv4SgyjRoYaIsdTNQADymhmZ79ijWu3s93sNtS0XkSppwosZaFuw,0.5357,3.3487,1.8158,33214.82,203.64,26.68,1631.71,15.36,12739.86,0.9342,2,28,7,19.247,0.69,1.2921,21.67,-0.8112,0.0714,0.0284,0
5M3h2ZKqWhEA_EzS1-tgYT6WWaF1xfJEypJcZbcuhCov5gaRLaWltR3mF6MrsbaIaRm-qwn_8a7_Jg,0.4062,2.259,1.2229,21009.59,181.28,17.12,1551.0,13.22,12425.19,0.9131,6,32,3,1.8593,0.6602,13.2389,2.42,-0.7047,-0.0625,0.0453,0
5hSwib4fQcPkhM3FBIpMcNTMfqKgFwut5zwLnU_X0UgkNJimTCHYm7nDjczSoE9Nd9P1nO58LIoDBA,0.4286,3.1084,1.1687,29606.71,181.79,25.29,1944.71,15.57,13670.5,0.9194,10,14,4,9.6275,0.7391,2.6708,5.24,-0.5281,-0.2857,0.025,1
6FJAp6N5rbcYIMdlq5PMWEmVAtndfx2NvrnWiY_PyF3DSekMtpXJc9B4lqmbbo00P08AAkoo-Ph65w,0.6061,3.1513,1.0119,30180.94,55.97,0.58,1112.85,15.58,12871.76,0.9096,25,33,6,3.8512,0.5795,6.4087,5.15,0.131,0.2059,0.0095,0
